SC	ID	Title	Fname	Sname	Status	Occup	Place	Role	Year	Amount of Tax	Goods/Land	Comment
LAY	1	Mr	Vincent	Barry	 	 	Old Thame	Payer	1641	£1 6s 8d	Goods	
LAY	2	Mr	 	Thyn	 	 	Old Thame	Payer	1641	£3 4s 0d	Land	
LAY	3	Lady	 	Pigott	 	 	Old Thame	Payer	1641	£2 0s 0d	Land	
LAY	4	Mr	William	Burt	 	 	Old Thame	Payer	1641	8s 0d	Land	
LAY	5	 	Jerome	Messenger	 	 	Old Thame	Payer	1641	8s 0d	Land	
LAY	6	 	Thomas	Stripplehill	 	 	Old Thame	Payer	1641	8s 0d	Land	
LAY	7	 	Nicholas	Allmond	 	 	Old Thame	Payer	1641	8s 0d	Land	
LAY	8	 	John	Guttridge	 	 	Old Thame	Payer	1641	8s 0d	Land	
LAY	9	 	Wm	Heyburne	 	 	Old Thame	Payer	1641	16s 0d	Land	
LAY	10	 	Richard	Springall	 	 	Old Thame	Payer	1641	8s 0d	Land	
LAY	11	 	Roger	Eustace	 	 	Old Thame	Payer	1641	8s 0d	Land	
LAY	12	 	Thomas	Eustace	 	 	Old Thame	Payer	1642	8s 0d	Land	
LAY	13	 	Nicholas	Widmer 	gent	 	Old Thame	Payer	1643	16s 11d	Land	
LAY	14	 	John	Bardolph	 	 	Old Thame	Payer	1661	8s 0d	Land	
LAY	15	 	William	Langbane 	gent	 	Old Thame	Payer	1661	8s 0d	Land	
LAY	16	Mr	Templar	Clarke	 	 	Old Thame	Payer	1661	8s 0d	Land	for his temporalities
LAY	17	 	Stephen	Cooke	 	 	Old Thame	Payer	1661	8s 0d	Land	
LAY	18	 	Tho	Stribblehill 	Jnr	 	Old Thame	Payer	1661	8s 0d	Land	
LAY	19	 	John	Eustis 	gent	 	Old Thame	Payer	1661	8s 0d	Land	
LAY	20	Mrs	 	Langbane	 	 	Old Thame	Payer	1661	8s 0d	Land	& her 2 sisters
LAY	21	 	William	Lamborne	 	 	Old Thame	Payer	1661	8s 0d	Land	
LAY	22	Mr	John	Thyn	 	 	Priestend	Payer	1641	16s 0d	Land	or William Smith
LAY	23	Mrs	 	Bigge	 	 	Priestend	Payer	1641	16s 0d	Land	
LAY	24	 	Thomas	Stripplehill	 	 	Priestend	Payer	1641	16s 0d	Land	
LAY	25	 	John	Perkins	 	 	Priestend	Payer	1641	16s 0d	Land	
LAY	26	Mr	 	Searle	 	 	Priestend	Payer	1641	8s 0d	Land	
LAY	27	 	Zacherie	Edwards	 	 	Priestend	Payer	1641	8s 0d	Land	
LAY	28	 	Wm	Towne 	Jnr	 	Priestend	Payer	1641	16s 0d	Land	
LAY	29	 	Wm	Bigge	 	 	Priestend	Payer	1641	8s 0d	Land	
LAY	30	 	Thomas	Calcott	 	 	Priestend	Payer	1641	8s 0d	Land	
LAY	31	Mr	 	Coope	 	 	Priestend	Payer	1642	8s 0d	Land	
LAY	32	Widow	 	Coope	 	 	Priestend	Payer	1661	8s 0d	Land	
LAY	33	 	Thomas	Fulmer	 	 	Priestend	Payer	1642	8s 0d	Land	
LAY	34	Widow	 	Springall	 	 	Priestend	Payer	1642	8s 0d	Land	
LAY	35	Mr	 	Wig	 	 	Priestend	Payer	1661	16s 0d	Land	
LAY	36	 	John	Calcott	 	 	Priestend	Payer	1643	5s 6d	Land	
LAY	37	 	Henry	Edwards	 	 	Priestend	Payer	1643	5s 6d	Land	
LAY	38	 	John	Harris	 	 	Priestend	Payer	1661	8s 0d	Land	
LAY	39	 	John	Stribblehill	 	 	Priestend	Payer	1643	5s 6d	Land	
LAY	40	 	William	Towne 	Jnr	 	Priestend	Payer	1643	5s 6d	Land	
LAY	41	Mr	William	Hester	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	42	Mr	 	Robatham	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	43	 	Robert	Hall	 	 	New Thame	Payer	1641	16s 0d	Goods	
LAY	44	Mr	 	Brasey	 	 	New Thame	Payer	1641	£1 12s 0d	Land	
LAY	45	Widow	 	Brasey	 	 	New Thame	Payer	1643	4s 0d	Land	
LAY	46	 	John	Tomlinson	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	47	 	Philip	Bird	 	 	New Thame	Payer	1641	16s 0d	Goods	
LAY	48	Mr	 	Allnutt	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	49	 	Wm	Sumner	 	 	New Thame	Payer	1641	16s 0d	Goods	
LAY	50	 	Wm	Phillipps	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	51	 	Thomas	Bryan	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	52	Widow	 	Bryan	 	 	New Thame	Payer	1643	2s 0d	Land	
LAY	53	 	Peter	Tomlinson	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	54	 	Thomas	Wildgoose	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	55	 	Leonard	Towne	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	56	 	Robert	Prince	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	57	 	Henry	Vivers	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	58	 	Hugh	Hester	 	 	New Thame	Payer	1641	16s 0d	Land	
LAY	59	 	Thomas	Accle	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	60	Widow	 	Accle	 	 	New Thame	Payer	1643	1s 0d	Land	
LAY	61	 	Stephen	Cosen	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	62	 	Francis	Wethered	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	63	Widow	 	Wethered	 	 	New Thame	Payer	1643	1s 0d	Land	
LAY	64	 	Simon	Rooper	 	 	New Thame	Payer	1641	£1 1s 4d	Goods	
LAY	65	 	Mathew	Warters	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	66	 	Richard	Cotten	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	67	 	Richard	Cotten	 	 	New Thame	Payer	1642	16s 0d	Goods	
LAY	68	 	John	Ayres	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	69	 	Hierome	Bayley	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	70	 	John	Burnham	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	71	 	James	Roberts	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	72	 	Robt	Cooles	 	 	New Thame	Payer	1641	8s 0d	Land	
LAY	73	Mr	 	Lowch	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	74	 	Robert	Wheeler	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	75	 	Edward	Bath	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	76	Widow	 	Bath	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	77	 	Peter	Tomlinson	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	78	 	Robert	Hall	 	 	New Thame	Payer	1642	8s 0d	Land	
LAY	79	Mr	John	Eustis	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	80	Mrs	Anne	Croke	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	81	 	Richard	Hearn	 	 	New Thame	Payer	1643	2s 0d	Land	
LAY	82	Mr	Edward	Coles	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	83	 	Richard	Rastell	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	84	 	John	Harris	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	85	Mr	Thomas	Carter	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	86	Mr	Thomas	Ballow	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	87	Mr	John	Daniell	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	88	 	George	Burns	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	89	Mr	Edward	Daniells	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	90	 	Edward	Smith	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	91	Mr	Thomas	Hester	 	 	New Thame	Payer	1643	1s 0d	Land	
LAY	92	 	Elizabeth	Brooke	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	93	 	John	Young	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	94	 	Edward	Leaver	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	95	 	Thomas	Baker	 	 	New Thame	Payer	1643	1s 6d	Land	
LAY	96	 	Henry	Jemmett	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	97	 	Henry	Page	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	98	Mr	Henry	Alnut	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	99	 	John	Gurden	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	100	 	Edward	Phillips	 	 	New Thame	Payer	1661	8s 0d	Land	
LAY	101	Sir	Arthur	Manwareing	knight	 	North Weston	Payer	1641	£8 0s 0d	Land	
