SC	ID	Title	Fname	Sname	Status	Occup	Place	Role	Year	Rate	RateSort	Comment
MAS	1	 	John	Heyborne	 	 	Moreton	Rate Payer	1647	7s  0d	0.05	
MAS	2	 	Henry	Slaughter	 	 	Moreton	Rate Payer	1647	7s  0d	0.05	
MAS	3	 	William	Smith	 	 	Moreton	Rate Payer	1647	12s  0d	0.05	
MAS	4	 	John	Messenger	 	 	Moreton	Rate Payer	1647	3s  0d	0.05	
MAS	5	Mrs	 	Jackman	 	 	Moreton	Rate Payer	1647	6s  0d	0.05	
MAS	6	 	Edward	Stone	 	 	Moreton	Rate Payer	1647	12s  0d	0.05	
MAS	7	 	Henry	Eldridge	 	 	Moreton	Rate Payer	1647	3s  0d	0.05	
MAS	8	 	Francis	Hayley	 	 	Moreton	Rate Payer	1647	1s  6d	0.05	
MAS	9	 	Richard	Messenger	Sen	 	Moreton	Sub-collector	1647	4s  6d	0.05	
MAS	10	 	William	Norris	 	 	Moreton	Rate Payer	1647	3s  0d	0.05	
MAS	11	 	Thomas	Eynot	 	 	Moreton	Rate Payer	1647	6d	0.05	
MAS	12	 	Thomas	Stone	 	 	Moreton	Sub-collector	1647	6s  0d	0.05	
MAS	13	 	Richard	Jones	 	 	Moreton	Rate Payer	1647	6s  0d	0.05	
MAS	14	 	Richard	Messenger	Jnr	 	Moreton	Rate Payer	1647	6s  0d	0.05	
MAS	15	 	Thomas	Messenger	 	 	Moreton	Rate Payer	1647	10s  0d	0.05	
MAS	16	 	William	Basse	 	 	Moreton	Rate Payer	1647	6s  0d	0.05	
MAS	17	 	Thomas	Kinge	 	 	Moreton	Rate Payer	1647	7s  0d	0.05	
MAS	18	 	John	Younge	 	 	Moreton	Rate Payer	1647	9d	0.05	
MAS	19	 	John	Clerke	Esquire	 	North Weston	Rate Payer	1647	7s  6d	0.05	
MAS	20	Dame	Ursula	Verney	 	 	North Weston	Rate Payer	1647	�5  8s  0d	0.05	
MAS	21	Mr	 	Fox	 	 	North Weston	Rate Payer	1647	5s  0d	0.05	
MAS	22	 	Thomas	Carter	 	 	North Weston	Rate Payer	1647	5s  0d	0.05	
MAS	23	Widow	 	Woodbridge	 	 	North Weston	Rate Payer	1647	14s  0d	0.05	
MAS	24	 	John	Smith	 	 	North Weston	Sub-collector	1647	1s  3d	0.05	
MAS	25	 	William	Smith	 	 	North Weston	Rate Payer	1647	10s  0d	0.05	
