PLDID	SC	ID	Title	Fname	Sname	Status	Occup	Place	Role	Rel	RelTitle	RelFName	RelSName	RelStatus	RelOccup	RelPlace	Comment	Year
250.00	PLDSup	1	 	Wm	Ledwell	 	 		Subject	married to		Ann	Playdell					1759.00
250.00	PLDSup	2	 	Ann	Playdell	 	 		Subject	married to		Wm	Ledwell					1759.00
249.00	PLDSup	3	 	Walter	Jemmett	 	Mercer	Thame	Owner									1583.00
249.00	PLDSup	4	 	Thomas	Rosse	 	 		Giver									1583.00
41.00	PLDSup	5	 	Wm	Page	 	Bridewell Keeper	Thame	Party_1	son of		Henry	Page		Innholder		Chequer Ale House	1759.00
41.00	PLDSup	6	 	Edward	Rose	gent	 	New Thame	Party_2								Chequer Ale House	1759.00
41.00	PLDSup	7	 	Richard	Way	gent	 	New Thame	Party_3								Chequer Ale House	1759.00
41.00	PLDSup	8	 	John	Wall	 	 		Past Tennant								Chequer Ale House	1759.00
41.00	PLDSup	9	 	William	Wheeler	 	 		Tennant								Chequer Ale House	1759.00
41.00	PLDSup	10	Widow	Ann	Jackman	 	 		Tennant								Chequer Ale House	1759.00
326.00	PLDSup	11	 	Elizabeth	Gold	 	 		Tennant									1759.00
326.00	PLDSup	12	Widow	Mary	Sheldon	 	 		Past Tennant									1759.00
326.00	PLDSup	13	 	Owen	Hewett	 	 		Past Tennant									1759.00
327.00	PLDSup	14	 	William	Page	 	 		Tennant									1759.00
327.00	PLDSup	15	 	Richard	Dobinson	 	 		Tennant									1759.00
327.00	PLDSup	16	 	Elizabeth	Munday	 	 		Tennant									1759.00
327.00	PLDSup	17	 	Frances	Farmer	 	 		Tennant									1759.00
327.00	PLDSup	18	 	Thomas	Saville	 	 		Tennant									1759.00
132.00	PLDSup	19	 	James	Way	 	 		Party_1	son of		Richard	Way				Chequer Ale House	1785.00
132.00	PLDSup	20	 	Burrowe	Rose	 	 		Party_2	grandaughter of		Edward	Rose				heir of Anne Rose: Chequer Ale House	1785.00
132.00	PLDSup	21	 	Robert	Howland	 	Yeoman	Thame	Party_3								Chequer Ale House	1785.00
51.00	PLDSup	22	Widow	Ann	Hewitt	 	 	New Thame	Party_1a	widow of		Owen	Hewitt	elder	Joiner		also dwelled there	1755.00
51.00	PLDSup	23	 	Owen	Hewitt	 	Joiner		Party_1b	son of		Owen	Hewitt				also dwelled there	1755.00
330.00	PLDSup	24	 	Elizabeth	Dobbinson	 	 		Tennant								Three Pidgeons	1755.00
330.00	PLDSup	25	Widow	 	Gould	 	 		Tennant to NW								lived in tenement to the North West: Three Pidgeons?	1755.00
138.00	PLDSup	26	 	Richard	Hewitt	 	 		Legatee									1766.00
138.00	PLDSup	27	 	Owen	Hewitt	deceased	 		Giver									1766.00
58.00	PLDSup	28	 	William	Godfrey	 	 		Past Occupier									1785.00
58.00	PLDSup	29	 	William	Ford	 	Hawker & Peddlar	Pershore Worcs	Occupier								and his wife Ann	1785.00
58.00	PLDSup	30	 	Edward	Turner	 	Glover		Party_1									1785.00
59.00	PLDSup	31	 	Isaac	Stone	 	Joiner		Party_1									1785.00
60.00	PLDSup	32	 	Isaac	Stone	 	Joiner		Party_1									1787.00
61.00	PLDSup	33	 	Isaac	Stone	 	Joiner		Party_1									1793.00
62.00	PLDSup	34	 	Isaac	Stone	 	Joiner		Party_1									1793.00
59.00	PLDSup	35	 	Richard	Stone	 	Carpenter		Party_2									1785.00
60.00	PLDSup	36	 	Richard	Stone	 	Carpenter		Party_2									1787.00
61.00	PLDSup	37	 	Richard	Stone	 	Carpenter		Party_2									1793.00
62.00	PLDSup	38	 	Richard	Stone	 	Carpenter		Party_2									1793.00
7.00	PLDSup	39	 	Wm	Tripp	Esquire	 	Oxford	Party_1a								Three Pidgeons	1838.00
7.00	PLDSup	40	 	Charles Richard	Roberts	 	 	London, Seething Lane	Party_1b								Three Pidgeons	1838.00
7.00	PLDSup	41	 	Aaron	Pearce	 	Woolstapler	Thame	Party_2								Three Pidgeons	1838.00
7.00	PLDSup	42	 	Wm	Ford	 	 		Past Tennant								Three Pidgeons	1838.00
7.00	PLDSup	43	 	Martha	West	 	 		Past Tennant								Three Pidgeons	1838.00
7.00	PLDSup	44	 	Wm	Eeles	 	 		Past Tennant								Three Pidgeons	1838.00
7.00	PLDSup	45	 	Thomas	Stone	 	 		Tennant								Three Pidgeons	1838.00
7.00	PLDSup	46	 	 	Hyatt	 	 		Past Tennant to SE								Three Pidgeons	1838.00
7.00	PLDSup	47	 	John	Wheeler	 	 		Past Tennant to SE								Three Pidgeons	1838.00
7.00	PLDSup	48	 	Benj	Field	 	 		Tennant to SE								Three Pidgeons	1838.00
148.00	PLDSup	49	 	Isaac	Wheeler	 	Victualer	Thame	Party_1									1746.00
148.00	PLDSup	50	 	John	Wheeler	apprentice	Ginger Bread Maker	Thame	Subject	son of		Isaac	Wheeler		Victualler	Thame		1746.00
148.00	PLDSup	51	 	Elizabeth	Jordan	 	 	Thame	Party_2									1746.00
150.00	PLDSup	52	 	John	Wheeler	 	Ginger Bread Maker	Thame	Party_1									1795.00
15.00	PLDSup	53	 	 	Brown	 	 		Tennant									1770.00
15.00	PLDSup	54	 	Thomas	Howland	 	 		Past Tennant									1770.00
15.00	PLDSup	55	 	Mary	Cock	deceased	 	New Thame	Party_1								left messuage to 2nd party	1770.00
15.00	PLDSup	56	 	Clarke	Webb	 	 	Hambleton Bucks	Party_2	brother of		Mary	Cock					1770.00
185.00	PLDSup	57	 	Clarke	Webb	 	 	Hambleton Bucks	Party_1	device of	Widow	Mary	Cock	late		Thame		1785.00
185.00	PLDSup	58	 	John	Jemmet	 	Baker	Thame	Party_2									1785.00
185.00	PLDSup	59	 	John	Brown	 	 		Tennant									1785.00
185.00	PLDSup	60	 	Frances	Striblehill	 	 		Past Tennant to SE									1785.00
185.00	PLDSup	61	 	John	Alnutt	 	 		Past Tennant to NW									1785.00
187.00	PLDSup	62	 	Clarke	Webb	 	 	Hambleton Bucks	Party_1	device of	Widow	Mary	Cock	late		Thame	sold property	1785.00
187.00	PLDSup	63	 	John	Jemmet	 	Baker	Thame	Party_2								bought property	1785.00
188.00	PLDSup	64	 	John	Jemmet	 	Joiner	Thame	Party_1								sold property	1786.00
188.00	PLDSup	65	 	Thomas	Edden	 	Carpenter	Thame	Party_2								bought property	1786.00
249.00	PLDSup	66	 	Thomas	Rose	 	 	Waddesdon	Party_1									1583.00
249.00	PLDSup	67	 	Walter	Jemmott	 	 	Thame	Party_2									1583.00
249.00	PLDSup	68	 	Agnes	Anfield	 	 		Tennant									1583.00
249.00	PLDSup	69	 	Edmund	Alnutt	 	 		Tennant to E									1583.00
249.00	PLDSup	70	 	William	Hester	 	 		Tennant to N								tenement to the North known by the sign of the Lyon	1583.00
331.00	PLDSup	71	 	William	Ledwell	Esquire	 	Studley	Party_1a								Swan	1758.00
331.00	PLDSup	72	 	Charlotte	Ledwell	 	 		Party_1b	wife of		William	Ledwell				Swan	1758.00
331.00	PLDSup	73	 	Henry	Mason	gent	 	Stokenchurch	Party_2								Swan	1758.00
331.00	PLDSup	74	 	John	Wyat	 	 		Tennant								Swan	1758.00
331.00	PLDSup	75	 	John	Munday	 	 		Tennant of Adjacent Property								Swan	1758.00
248.00	PLDSup	76	 	Richard	Clarke	 	Nurseryman	Thame	Party_1	married		Anne	Moore	spinster		Ewelme	Kings Head	1752.00
248.00	PLDSup	77	 	Anne	Moore	 	 	Ewelme	Party_2	married		Richard	Clarke		Nurseryman	Thame	Kings Head	1752.00
248.00	PLDSup	78	 	James	Bennett	 	 		Tennant								Kings Head	1752.00
248.00	PLDSup	79	 	Richard	Beale	 	 		Mortgager								Kings Head	1752.00
332.00	PLDSup	80	 	Wm	Haybourne	 	Yeoman	Gt Haseley	Party_1	son and heir		Thomas	Heybourne	dec.		Latchford Gt Haseley	Black Boy	1693.00
332.00	PLDSup	81	 	William	Wheeler	 	 	Gt Haseley	Party_2	nephew & heir		Wm	Wheeler				Black Boy	1693.00
332.00	PLDSup	82	 	Richard	Moseley	 	 		Tennant								Black Boy	1693.00
332.00	PLDSup	83	 	Christopher	Dorne	 	Victualer~		Tennant to NW								messuage called The Sword	1693.00
332.00	PLDSup	84	Widow	 	Scrivenor	 	 		Tennant to SE									1693.00
333.00	PLDSup	85	 	John	Low	 	Innholder		Party_1								cottage in Friday St	1699.00
334.00	PLDSup	86	Widow	Elizabeth	Stevens	 	 	Old Thame	Party_1									1783.00
334.00	PLDSup	87	 	John	Steevens	 	Innholder	New Thame	Party_2									1783.00
335.00	PLDSup	88	 	Richard	Croke	 	 	Nethercot	Party_2									1656.00
335.00	PLDSup	89	 	John	Young	 	Collermaker	Thame	Party_3									1656.00
335.00	PLDSup	90	 	Edward	Tomlinson	 	 		Past Tennant									1656.00
335.00	PLDSup	91	Widow	Margaret	Tomlinson	deceased	 		Tennant to N									1656.00
335.00	PLDSup	92	 	George	Harding	 	 		Past Tennant to S									1656.00
335.00	PLDSup	93	 	Robert	Baker	 	 		Past Tennant to S									1656.00
336.00	PLDSup	94	 	Robert	Robotham	 	 	Ixhill Bucks	Party_2									1673.00
336.00	PLDSup	95	 	Oliver	Calcott	 	Butcher	Thame	Party_3									1673.00
338.00	PLDSup	96	 	Richard	Calcott	 	Fellmonger	Thame	Party_1a									1675.00
338.00	PLDSup	97	 	Wm	Tripp	 	Tallow Chandler	Thame	Party_1c									1675.00
338.00	PLDSup	98	 	John	Calcott	 	Butcher	Dinton, Bucks	Party_1d									1675.00
338.00	PLDSup	99	Widow	Mary	Calcott	 	 		Party_1b	widow of		Oliver	Calcott					1675.00
338.00	PLDSup	100	 	John	Jessop	 	 	Waldridge Bucks	Party_2									1675.00
339.00	PLDSup	101	 	John	Jessop	 	 		Party_1								The Angel	1688.00
339.00	PLDSup	102	 	Richard	Luce	 	Innkeeper	Thame	Party_2a								The Angel	1688.00
339.00	PLDSup	103	 	Mary	Luce	 	 		Party_2b	wife of		Richard	Luce				The Angel	1688.00
339.00	PLDSup	104	 	Joseph	Cox	 	Carpenter	Emmington	Party_3								The Angel	1688.00
340.00	PLDSup	105	 	John	Calcott	elder	 		Party_1a									1703.00
340.00	PLDSup	106	 	John	Calcott	younger	 		Party_1b									1703.00
340.00	PLDSup	107	 	Leonard	Walker	 	Innholder	New Thame	Party_2									1703.00
343.00	PLDSup	108	 	Joseph	Cox	 	 	Emmington	Party_1									1703.00
343.00	PLDSup	109	 	John	Calcott	elder	 	Dinton Bucks;  Westlingto	Party_2a									1703.00
343.00	PLDSup	110	 	John	Calcott	younger	Butcher	St Sepulchers	Party_2b									1703.00
343.00	PLDSup	111	 	William	Walker	city gent	 	London	Party_3a									1703.00
343.00	PLDSup	112	 	Leonard	Walker	 	Innholder	New Thame	Party_3b									1703.00
343.00	PLDSup	113	 	Anne	Walker	 	 		Party_3c	wife of		Leonard	Walker					1703.00
345.00	PLDSup	125	 	Leonard	Walker	 	Innholder	New Thame	Party_1a									1704.00
345.00	PLDSup	126	 	Anne	Walker	 	 		Party_1b	wife of		Leonard	Walker					1704.00
345.00	PLDSup	127	 	John	Stevens	 	 	Kingston Blount	Party_2c									1704.00
345.00	PLDSup	128	 	Sarah	Stevens	 	 		Party_2d	wife of		John	Stevens					1704.00
345.00	PLDSup	129	 	Daniel	Oxlade	 	Yeoman	High Wycombe	Party_2a									1704.00
345.00	PLDSup	130	 	May	Oxlade	 	 		Party_2b	wife of		Daniel	Oxlade					1704.00
347.00	PLDSup	131	 	Leonard	Walker	 	Innholder	New Thame	Party_1a									1713.00
347.00	PLDSup	132	 	Anne	Walker	 	 		Party_1b	 wife of		Leonard	Walker					1713.00
347.00	PLDSup	133	 	Richard	Smallbrooke	 	Yeoman	Dinton, Bucks;  Westlingt	Party_2									1713.00
