SC	PLDID	P	Doc No	Type	Day	Month	Year	Property	Street	Place	Comment
PLD	1	0	Li.XIII/ii/12				0.00			New Thame	 
PLD	2	0	Li.XIII/ii/13				0.00			Old Thame	 
PLD	3	0	Li.XIII/ix/6				0.00			New Thame	 
PLD	4	0	Li.XV/i/a/1	final concord	12	11	1759.00			New Thame	 
PLD	5	0	Li.XV/i/b/1	feoffment	25	3	1630.00	messuage in North Quarter	North Quarter	New Thame	 
PLD	6	0	Li.XV/i/b/14	mortgage	27	9	1766.00	messuage and workshop and yard and sawpitt	High St	New Thame	
PLD	7	1	Li.XV/i/c/1	lease for a year	27	6	1838.00	tenement formerly called Three Pidgeons		New Thame	 
PLD	8	0	Li.XV/ii/c/1	mortgage	17	1	1615.00	messuage	High St	New Thame	 
PLD	9	0	Li.XV/ii/c/8	bargain of sale	11	2	1671.00	messuage in north quarter	High St	New Thame	 
PLD	10	0	Li.XV/ii/c/14	lease	14	3	1715.00	messuage	North Quarter	New Thame	 
PLD	11	0	Li.XVI/i/a/1	marriage settlement	21	2	1674.00	messuage with garden		New Thame	 
PLD	12	0	Li.XVI/i/b/1	lease	31	10	1694.00	messuage in north quarter	High St	New Thame	 
PLD	13	0	Li.XVII/ii/2				0.00			New Thame	 
PLD	14	0	Li.XVII/iii/1				0.00			New Thame	 
PLD	15	1	Li.XVII/v/1	will	15	8	1770.00	messuage or tenement		New Thame	 
PLD	16	0	Li.XVII/vi/1				0.00			New Thame	 
PLD	17	0	Li.XVII/ix/1				0.00			New Thame	 
PLD	18	0	Li.XVII/xi/1				0.00			New Thame	 
PLD	19	0	Li.XVII/xi/3				0.00			New Thame	 
PLD	20	0	Li.XVII/xi/6				0.00			New Thame	 
PLD	21	0	Li.XVII/xi/11				0.00			New Thame	 
PLD	22	0	Li.XVII/xi/19				0.00			New Thame	 
PLD	23	0	Li.XVII/iii/7				0.00			New Thame	 
PLD	24	0	Li.XV/ii/c/19	exemplification of common records	18	5	1795.00	messuage, garden and land		Old Thame	2 messuage, 2 gardens, 7 acres of land, 10 acres of meadow, 20 acres of pasture and common pasture for cattle in New Thame, Thame & Old Thame
PLD	25	0	Li.XV/ii/c/21	will	15	2	1822.00			Old Thame	 
PLD	26	0	Li.XV/v/a/1	deed	18	1	1817.00	messuage		Priestend	 
PLD	27	0	Li.XV/v/b/1	conveyance	24	2	1890.00	tenement at corner of formerly Old Town Lane	Bell Lane	New Thame	 
PLD	28	0	Li.XVII/iii/1				0.00			Old Thame	 
PLD	29	0	Li.XVII/iii/7				0.00			Old Thame	 
PLD	30	0	Li.XVII/iv/2				0.00			Old Thame	 
PLD	31	0	Li.XVII/viii/1				0.00			Old Thame	 
PLD	32	0	Li.XVII/viii/4				0.00			Old Thame	 
PLD	33	0	Li.XVII/xi/2				0.00			Old Thame	 
PLD	34	0	Li.XVII/xi/6				0.00			Old Thame	 
PLD	35	0	Li.XVII/xi/11				0.00			Old Thame	 
PLD	36	0	Li.XVII/xi/18				0.00			Old Thame	 
PLD	37	0	Li.XVII/xi/24				0.00			Old Thame	 
PLD	38	0	Misc.Yorks NR III/ii/1	lease			1768.00	6  acres land in common field		Old Thame	
PLD	39	0	Co.V/i/1	deed	20	50	1629.00	18 acres of arable land & 2 messuages		Old Thame	
PLD	40	0	Li.XIII/ii/13				0.00			New Thame	 
PLD	41	1	Li.XV/i/a/2	lease	13	11	1759.00	Messuage called Chequer Ale House	Hoggherds Hill	New Thame	 
PLD	50	0	Li.XV/i/b/10	copies of 6-7			0.00			New Thame	as Li XV/i/a/3
PLD	51	1	Li.XV/i/b/11	mortgage	19	5	1755.00	messuage, tenement & back house yard	New Quarter	New Thame	 
PLD	52	0	Li.XV/i/b/12	bond	19	5	1755.00			New Thame	 
PLD	54	0	Li.XV/i/b/15	bond	27	9	1766.00	messuage and workshop and yard and sawpitt	High St	New Thame	
PLD	55	0	Li.XV/i/b/16	lease	28	7	1777.00	messuage and workshop and yard and sawpitt	High St	New Thame	
PLD	56	0	Li.XV/i/b/17	release	29	7	1777.00	messuage and workshop and yard and sawpitt	High St	New Thame	
PLD	57	0	Li.XV/i/b/18	copy 16-17	29	7	1777.00	messuage and workshop and yard and sawpitt	High St	New Thame	
PLD	58	1	Li.XV/i/b/19	lease	0	0	1785.00	tenement formerly Three Pidgeons		New Thame	 
PLD	59	1	Li.XV/i/b/20	re-lease for a year	31	10	1785.00	tenement formerly Three Pidgeons		New Thame	 
PLD	60	1	Li.XV/i/b/21	re-lease for a year	31	10	1787.00	tenement formerly Three Pidgeons		New Thame	 
PLD	61	1	Li.XV/i/b/22	re-lease for a year	14	10	1793.00	tenement formerly Three Pidgeons		New Thame	 
PLD	62	0	Li.XV/i/b/23	re-lease for a year	15	10	1793.00	tenement formerly Three Pidgeons		New Thame	 
