SC	ID	Title	Fname	Sname	Status	Occup	Place	Role	Year	End year	Comment
SCH	1	 	Edward	Harris	 	Schoolmaster		Headmaster	1570.00	1597.00	
SCH	2	 	Richard	Boucher	 	Schoolmaster		Headmaster	1597.00	1627.00	in Thame Probate court
SCH	3	 	Hugh	Evans	 	Schoolmaster		Headmaster	1627.00	1631.00	
SCH	4	 	William	Burt	 	Schoolmaster		Headmaster	1631.00	1647.00	
SCH	5	 	William	Ayliffe	 	Schoolmaster		Headmaster	1647.00	1655.00	
SCH	6	 	Henry	Beeston	 	Schoolmaster		Headmaster	1655.00	1655.00	
SCH	7	 	Hugh	Willis	 	Schoolmaster		Headmaster	1655.00	1675.00	
SCH	8	 	Thomas	Middleton	 	Schoolmaster		Headmaster	1675.00	1694.00	
SCH	9	 	Henry	Bruges	 	Schoolmaster		Headmaster	1694.00	1727.00	
SCH	10	 	Richard	Pynnocke	 	Schoolmaster		Usher	1587.00	1587.00	
SCH	11	 	Humfrye	Hart	 	Schoolmaster		Usher	1613.00	1613.00	died in 1613
SCH	12	 	Francis	Bartlet	 	Schoolmaster		Usher	1613.00	1632.00	
SCH	13	 	John	Ives	 	Schoolmaster		Usher	1613.00	1632.00	
SCH	14	 	Thomas	Gilbert	 	Schoolmaster		Usher	1632.00	1634.00	
SCH	15	 	John	Fournesse	 	Schoolmaster		Usher	1634.00	1644.00	
SCH	16	 	David	Thomas	 	Schoolmaster		Usher	1644.00	1646.00	
SCH	17	 	Daniel	Ballowe	 	Schoolmaster		Usher	1658.00	1659.00	
SCH	18	 	Thomas	Fawkes	 	Schoolmaster		Usher	1659.00	1660.00	
SCH	19	 	William	Collins	 	Schoolmaster		Usher	1660.00	1662.00	
SCH	20	 	Robert	Bourne	 	Schoolmaster		Usher	1662.00	1671.00	
SCH	21	 	Edward	Dove	 	Schoolmaster		Usher	1671.00	1674.00	
SCH	22	 	Benjamin	Wainwright	 	Schoolmaster		Usher	1674.00		
SCH	23	 	Edward	Adams	 	Rope Supplier		Tradesman	1602.00	1647.00	
SCH	24	 	John	Adkins	 	Carpenter		Tradesman	1602.00	1647.00	board and hinge for school setle
SCH	25	 	Philip	Alnut	 	Plumber		Tradesman	1602.00	1647.00	making and setting up the plumpe
SCH	26	 	Robert	Alnutt	 	Carpenter		Tradesman	1602.00	1647.00	
SCH	27	 	William	Alnutt	 	Carpenter		Tradesman	1602.00	1647.00	
SCH	28	 	William	Atkins	 	Plumber		Tradesman	1602.00	1647.00	mending the plumpe
SCH	29	 	Paule	Audley	 	Glazier		Tradesman	1602.00	1647.00	
SCH	30	 	 	Ayres	 	Gardener		Labourer	1602.00	1647.00	cutting hedges
SCH	31	 	John	Baker	 	 		Tradesman	1602.00	1647.00	a piece of timber
SCH	32	 	Thomas	Ballowe	 	Merchant Farmer		Tennant	1602.00	1647.00	
SCH	33	Widow	Agnes	Ballowe	 	Landowner	Sydenham	Tennant	1602.00	1647.00	lands in Sydenham
SCH	34	 	Edward	Bampton	 	Cooper		Tradesman	1602.00	1647.00	
SCH	35	 	Lawrence	Bannister	Esquire	Farmer		Tennant	1602.00	1647.00	fee farms in Brill Oakley Boarstall
SCH	36	Mistress	 	Bannister	 	Farmer		Tennant	1602.00	1647.00	fee farms in Brill Oakley Boarstall
SCH	37	 	 	Barnett	 	Gardener		Tradesman	1602.00	1647.00	
SCH	38	Mr	 	Barrowes	 	Draper		Tradesman	1602.00	1647.00	
SCH	39	Mr	 	Bayley	 	 		Tennant	1602.00	1647.00	
SCH	40	Mr	 	Beake	 	Landowner	Sydenham	Tennant	1602.00	1647.00	lands in Sydenham
SCH	41	Mistress	 	Beake	 	Landowner	Sydenham	Tennant	1602.00	1647.00	lands in Sydenham
SCH	42	 	 	Bernard	 	Gardener		Tradesman	1602.00	1647.00	
SCH	43	 	Richard	Boucher	 	Schoolmaster		Usher	1602.00	1647.00	
SCH	44	 	Richard	Bowcher	 	Schoolmaster		Usher	1602.00	1647.00	same as Boucher
SCH	45	 	Richard	Brasey	 	 	New Thame	Tennant	1602.00	1647.00	2 tenements in New Thame
SCH	46	 	Thomas	Brasie	 	 	New Thame	Tennant	1602.00	1647.00	2 tenements in New Thame
SCH	47	 	John	Brasyer	 	 	Aylesbury	Tradesman	1602.00	1647.00	of Aylesbury for a pound of foder
SCH	48	Mr	 	Brasyes	 	 	Thame	Tennant	1602.00	1647.00	house in Thame
SCH	49	 	Edmond	Brookes	 	 	New Thame	Tennant	1602.00	1647.00	a tenement in New Thame
SCH	50	Mr	 	Bryan	 	 		Tradesman	1602.00	1647.00	for carriage
SCH	51	 	Roger	Burges	 	 		Tradesman	1602.00	1647.00	laying oaken planks about the plumpe
SCH	52	 	William	Burte	 	Schoolmaster		Usher	1602.00	1647.00	
SCH	53	 	 	Burton	 	Hellyer		Tradesman	1602.00	1647.00	
SCH	54	 	 	Burton	 	Mason		Tradesman	1602.00	1647.00	
SCH	55	 	Edward	Burton	 	Tiler and Mason		Tradesman	1602.00	1647.00	
SCH	56	 	Leonard	Burton	 	Tile Merchant and Tyler		Tradesman	1602.00	1647.00	
SCH	57	 	Philip	Burton	 	 		Labourer	1602.00	1647.00	6 dayes worke
SCH	58	 	John	Calcott	 	 		Tradesman	1602.00	1647.00	lime, heare
SCH	59	 	John	Cannon	 	 		Tradesman	1602.00	1647.00	for digging and mending the way
SCH	60	 	Thomas	Canon	 	Farmer	Long Crendon	Tennant	1602.00	1647.00	of Long Crendon, farm called Sperlings
SCH	61	 	Cornelius	Carden	 	 		Tradesman	1602.00	1647.00	mending school door lock
SCH	62	 	Edward	Carden	 	Smith		Tradesman	1602.00	1647.00	
SCH	63	Mr	 	Castle	 	 		Tennant	1602.00	1647.00	arrears of rent
SCH	64	 	 	Chapman	 	 		Tradesman	1602.00	1647.00	clensing house of office
SCH	65	 	James	Childe	 	 		Tennant	1602.00	1647.00	lived next door to school and almshouse
SCH	66	 	 	Clisbye	 	 		Tradesman	1602.00	1647.00	for carriage
SCH	67	 	J	Coles	 	 		Tradesman	1602.00	1647.00	pitching
SCH	68	 	 	Collingridge	 	 		Tradesman	1602.00	1647.00	amending the plumpe
SCH	69	 	Robert	Cooke	 	 	New Thame	Tennant	1602.00	1647.00	2 tenements in New Thame
SCH	70	 	Robert	Cooke	elder	 		Tradesman	1602.00	1647.00	boards
SCH	71	 	Robert	Cooke	younger	 		Tradesman	1602.00	1647.00	elme boards
