Table Name	SC	Number of Records	Description	Content	Year Span	Location	Class	Comment
Misc	ADM	24.00	Administrations in Prerogatrive Court of Canterbury	This table contains the names of those persons for whom administration of the will was granted in the Prerogative Court of Canterbury.   There is no evidence that the documents themselves have survived.	1633-1654	Public Record Office	PROB ?	The Prerogative Court of Canterbury was the highest Probate Court in the land; Probate would be taken there, if the deceased owned land in more than one jurisdiction or if the death occurred overseas.
Baptisms	BAP	5203.00	Thame Parish Register	This table contains the names of the persons recorded in the Parish Register as being baptised.	1600-1700	Oxfordshire Archives	Thame Parish Chest	Thame Parish register has survived almost intact since the 16C.  Listed are the baptism, burial and marriage records.
BaptismsSup	BAPSup	4230.00	Thame Parish Register - Supplemental	This table contains the names of the persons who were recorded in the Parish Register as a relative of someone who was baptised.	1600-1700	Oxfordshire Archives	Thame Parish Chest	Thame Parish register has survived almost intact since the 16C.  Listed are the baptism, burial and marriage records.
Burials	BUR	3493.00	Thame Parish Register	This table contains the names of the persons recorded in the Parish Register as being buried.	1600-1700	Oxfordshire Archives	Thame Parish Chest	Thame Parish register has survived almost intact since the 16C.  Listed are the baptism, burial and marriage records.
BurialsSup	BURSup	1278.00	Thame Parish Register - Supplemental	This table contains the names of the persons who were recorded in the Parish Register as a relative of someone who was buried.	1600-1700	Oxfordshire Archives	Thame Parish Chest	Thame Parish register has survived almost intact since the 16C.  Listed are the baptism, burial and marriage records.
Misc	CORN	47.00	Corn Returns	This table lists those townsmen who were brewing or baking and the amount of grain that they were using.	1587	Public Record Office	State Papers Domestic SP12	In times of dearth, parliament required to be informed of the amount of corn that was being grown and what it was being used for.  This is an extract from the Corn Returns for Oxfordshire.
Copyholders	CPY	96.00	Bertie Manuscripts - Copyholders	This table contains details of the Copyhold and the name of the first person whose life was held in the Copyhold.	1633	Bodleian Library	MS Top Gen e64	Copyhold was a form of land lease where the duration of the lease was for the life-time of named individuals.   The Bertie documents contain a listing for 1633 giving copyholders of Bertie lands in Thame.
CopySup	CPYSup	111.00	Bertie Manuscripts - Copyholders - Supplemental	This table contains the names of the second and subsequent persons whose lives were held in the Copyhold.	1633	Bodleian Library	MS Top Gen e64	Copyhold was a form of land lease where the duration of the lease was for the life-time of named individuals.  The Bertie documents contain a listing for 1633 giving copyholders of Bertie lands in Thame.
Frankpledge	FKP	1472.00	View of Frankpledge Court Rolls	This table lists the names of all the officers and jurors appointed by the court. It also contains the names of absentees and all those who were presented for offences together with details of their offence and their punishment.	1599-1661	Bodleian Library	MS Top Oxon b262	The hearing of cases involving infringement of market law and order was administered by the local "View of Frankpledge".  The court sat quarterly to appoint officers and to hear offences;  Jurors were appointed from the townsmen and attendance appears to have been compulsary, as many townsmen are fined for being absent.
HearthTax	HTX	370.00	Hearth Tax Records	This table contains the names of those who paid the tax and the rate paid and also the names of those who were unable to pay.	1662 & 1665	Public Record Office	E179/163, E179/255	In the 1660s an annual tax of 1s per hearth was made on all houses in the land,  the records of Thame for 1662 and 1665 have survived.
LaySub	LAY	228.00	Lay Subsidy Returns	This table contains the names of all those who were assessed and the amount that they paid.	1641-1642:1647:1661	Public Record Office	E179	Lay Subsidy was a form of wealth tax imposed in the middle of the Century.  Assessment was made on land and/or goods.
Probate	LEE	2.00	Probate Records	This table contains the names and details of those people mentioned by Lee for whom the probate documents do not appear elsewhere in these tables.	17C	Oxfordshire Archives	History of St Mary's Church	In his book The History of St Mary's Church the Rev F G Lee makes reference to many persons who left wills and inventories.
Marriages	MAR	2277.00	Thame Parish Register	This table contains the names of all the persons whose marriages are recorded in the Parish Register, also noted is whether the marriage was by Banns or License.	1600-1700	Oxfordshire Archives	Thame Parish Chest	The Thame Parish Register has survived almost intact since the 16C. Listed are the marriage records, one entry is made for the husband with a seperate entry for the wife.
MonthlyAssess	MAS	299.00	Parliamentary Monthly Assessment Rolls	This table contains the entries for Thame Parish with the amounts paid.	1647	Public Record Office	E179,164,497	From Mar to Sep 1647 a Monthly Assessment was imposed to pay for Sir Thomas Fairfax's Army.  The Monthly Assessment for Oxfordshire was £779 13s 11d and for Thame Hundred £23 7s 10d.  However the six month total that was paid was; Priestend £7 8s 6d; New Thame £10 19s 10d; Old Thame £14 17s 0d; North Weston £12 3s 0d; Moreton £5 1s 3d; Thame Park £15 17s 3d;  Ascot £9 2s 0d; Chilworth £9 3s 0d; Great Milton, Little Milton and Waterstock £13 15s 0d each.  The six month total collected was £125 16s 10d but the assessment was £150.
Misc	MOM	4.00	Giles Mompasson's Accounts for Innkeepers Licences	This table lists those Innkeepers of Thame whom he succeeded to license and the years of the license.	1617 - 1620	Bucks Record Office	D/X 648	Ale houses were required by law to be licensed, but for centuries "Ancient Inns" claimed a right not to be licensed.  Giles Mompasson obtained permission from parliament to register and license those "Ancient Inns" but his attempt was largely unsuccessful.
Monuments	MON	46.00	Monumental Inscriptions of St Mary's Church	This table contains the names of all the individual persons named on the monuments as deceased, their date of death and their age if given.	1588-1710	Oxfordshire Archives	History of St Mary's Church	In the late 19C the Rev FG Lee catalogued all the monuments in St Mary's Church Thame.  Many of these monuments have since been lost or are now illegible.
MonumentsSup	MONSup	36.00	Monumental Inscriptions of St Mary's Church - Supplemental	This table contains the names of the relatives of the individual persons named in the monuments.	1588-1710	Oxfordshire Archives	History of St Mary's Church  Rev F G Lee	In the late 19C the Rev FG Lee catalogued all the monuments in St Mary's Church Thame.  Many of these monuments have since been lost or are now illegible.
CodesNames	N/A	3362.00	Surnames		All			
CodesOccup	N/A	205.00	Occupations		All			
CodesStatus	N/A	176.00	Status Groupings		All			
Probate	ORO	6.00	Probate Documents	This table contains the names of the people who are the subject of the miscellaneous wills and other probate documents.	17C	Oxfordshire Archives	Various	The Oxfordshire Archives contain many probate documents which are catalogued as part of private deposits.
Probate	PCC	119.00	Probate Documents	This table contains the personal details from wills proven in the PCC.	17C	Public Record Office	PROB 11	The Prerogative Court of Canterbury  was the highest probate court in the land; probate would be taken there, if the deceased owned land in more than one jurisdiction or if the death occurred overseas.
Probate	PCCi	11.00	Probate Documents	This table contains the personal details and valuations from inventories proven in the PCC.	17C	Public Record Office	PROB 4	The Prerogative Court of Canterbury  was the highest probate court in the land; probate would be taken there, if the deceased owned land in more than one jurisdiction or if the death occurred overseas.
Probate	PEC	347.00	Probate Documents	This table contains the personal details from the wills and other documents from the Peculiar Court.	17C	Oxfordshire Archives	Thame PEC	The probate of most wills was proved in the local Peculiar Court in Thame and the documents are contained in the Thame Parish records held in the Oxfordshire Archives.
