SC	ID	Title	Fname	Sname	Status	Occup	Place	Role	Year	Comment
WAR	1	 	John	Collens	 	 		Church Warden	1549	
WAR	2	 	John	Heister	 	 		Church Warden	1549	
WAR	3	 	Edward	Cornishe	 	 		Church Warden	1549	
WAR	4	 	William	Hunte	 	 		Church Warden	1549	
WAR	5	 	John	Spense	 	 		Church Warden	1551	
WAR	6	 	Richard	Bunce	 	 		Church Warden	1551	
WAR	7	 	William	Lee	 	 		Church Warden	1553	
WAR	8	 	William	Ballowe	 	 		Church Warden	1553	
WAR	9	Mr	William	Lee	 	 		Church Warden	1554	
WAR	10	 	William	Ballowe	 	 		Church Warden	1554	
WAR	11	 	John	Spens	 	 		Church Warden	1556	
WAR	12	 	Thomas	Symeon	 	 		Church Warden	1556	
WAR	13	 	Robert	Coope	 	 		Church Warden	1556	
WAR	14	 	Nicholas	Eule	 	 		Church Warden	1556	
WAR	15	 	Thomas	Symeon	 	 		Church Warden	1557	
WAR	16	 	William	Scott	 	 		Church Warden	1557	
WAR	17	 	William	Hardyinge	 	 		Church Warden	1557	
WAR	18	 	John	Striblebill	 	 		Church Warden	1557	
WAR	19	 	John	Totnell	 	 		Church Warden	1558	
WAR	20	 	William	Hardyinge	 	 		Church Warden	1558	
WAR	21	 	John	Striblehill	 	 		Church Warden	1558	
WAR	22	 	William	Scott	 	 		Church Warden	1558	
WAR	23	 	John	Totnell	 	 	New Thame	Church Warden	1559	
WAR	24	 	Walter	Thame	 	 	New Thame	Church Warden	1559	
WAR	25	 	John	Stryblehill	 	 	Old Thame	Church Warden	1559	
WAR	26	 	John	Playsted	 	 	Old Thame	Church Warden	1559	
WAR	27	 	Thomas	Striblehill	 	 		Church Warden	1560	
WAR	28	 	Walter	Thame	 	 		Church Warden	1560	
WAR	29	 	Thomas	Andfelde	 	 		Church Warden	1560	
WAR	30	 	Thomas	Page	 	 		Church Warden	1561	
WAR	31	 	Thomas	Helys	 	 	New Thame	Church Warden	1562	
WAR	32	 	Richard	Pitman	 	 	New Thame	Church Warden	1562	
WAR	33	 	John	Child	als Barnes	 	Old Thame	Church Warden	1562	
WAR	34	 	Thomas	Garnet	 	 	Priestend	Church Warden	1562	
WAR	35	 	Thomas	Addams	 	 	Moreton	Church Warden	1562	
WAR	36	 	Richard	Pitman	 	 		Church Warden	1563	
WAR	37	 	William	Smythe	 	 		Church Warden	1563	
WAR	38	 	Thomas	Springolde	 	 		Church Warden	1563	
WAR	39	 	Robert	Springolde	 	 		Church Warden	1563	
WAR	40	 	William	Smythe	 	 		Church Warden	1564	
WAR	41	 	Henry	Grenrod	 	 		Church Warden	1564	
WAR	42	 	Thomas	Springolde	 	 		Church Warden	1564	
WAR	43	 	Robert	Springolde	 	 		Church Warden	1564	
WAR	44	 	Henry	Grenrod	 	 		Church Warden	1565	
WAR	45	 	John	Bedford	 	 		Church Warden	1565	
WAR	46	 	John	Bedford	 	 	New Thame	Church Warden	1566	
WAR	47	 	Raphe	Pollen	 	 	New Thame	Church Warden	1566	
WAR	48	 	William	Mynchard	 	 	Old Thame	Church Warden	1566	
WAR	49	 	Thomas	Striblehill	 	 	Old Thame	Church Warden	1566	
WAR	50	 	Ralphe	Pollen	 	 		Church Warden	1567	
WAR	51	 	Phillip	Byrde	 	 		Church Warden	1567	
WAR	52	 	Phillip	Byrde	 	 		Church Warden	1568	
WAR	53	 	Robert	Phillipps	als Coxe	 		Church Warden	1568	
WAR	54	 	Robert	Phillipps	als Coxe	 	New Thame	Church Warden	1569	
WAR	55	 	Hugh	Ives	 	 	New Thame	Church Warden	1569	
WAR	56	 	Hugh	Ives	 	 	New Thame	Church Warden	1570	
WAR	57	 	Richard	Benson	 	 	New Thame	Church Warden	1570	
